CO,DIFF,FECHA,HOURNORAIN,NO,NO2,NOX,O3,PM10,PM25,PMCO,RH,SO2,Station_code,T2MMAX,T2MMEAN,T2MMIN,TMP,TPRECMAX,WDR,WSP,class_tmp,latitud,longitud,prev_CO,prev_NO2,prev_NOX,prev_O3,prev_PM10,prev_PM25,prev_PMCO,prev_SO2
9.71875,-2.45803,2016-01-24 00:00:00,21740.78516,3.2916666667,19.125,22.3333333333,70.2916666667,46.25,27.5833333333,18.75,33.75,2.9166666667,AJM,21.69555,11.71697,4.29629,14.175,0,157.2916666667,2.4333333333,1,19.2721,-99.2077,10.1464347387,23.3714039083,28.7989017044,50.0108019668,39.5416666667,20.6666666667,18.8333333333,4.5833333333
13.60625,-2.4898833333,2016-01-25 00:00:00,3357.50439,5.3333333333,27.875,33.2083333333,60.6666666667,55.5,29.3333333333,26.3333333333,36.4166666667,1.6666666667,AJM,22.77825,13.10595,6.70217,15.5958333333,0,167.9166666667,1.8791666667,1,19.2721,-99.2077,9.71875,19.125,22.3333333333,70.2916666667,46.25,27.5833333333,18.75,5.7040514221
8.4125,-2.3977633333,2016-01-26 00:00:00,3.75966,6,14.9166666667,20.8333333333,38.375,28.25,11.9583333333,16.25,37.1666666667,1.5,AJM,20.08651,12.74807,6.39388,15.1458333333,0,177.2083333333,3.4583333333,1,19.2721,-99.2077,13.60625,27.875,33.2083333333,60.6666666667,55.5,29.3333333333,26.3333333333,2.9166666667
6.8229166667,-3.1794733333,2016-01-27 00:00:00,19913.8418,4.375,9.125,13.6666666667,36.2916666667,19.5,6.2916666667,13.2083333333,30.4583333333,0.25,AJM,19.99258,10.67886,2.51968,13.8583333333,0,211.25,3.4416666667,1,19.2721,-99.2077,8.4125,14.9166666667,20.8333333333,38.375,28.25,11.9583333333,16.25,1.6666666667
12.9583333333,-0.6510033333,2016-01-28 00:00:00,38.0084,12.0588316681,39.9154679694,51.9746339015,22.7083333333,66.2083333333,41.25,24.9166666667,48.4583333333,4,AJM,15.78689,8.33233,1.64187,8.9833333333,0,129.1666666667,2.0625,2,19.2721,-99.2077,6.8229166667,9.125,13.6666666667,36.2916666667,19.5,6.2916666667,13.2083333333,1.5
19.0943514054,-2.2295733333,2016-01-29 00:00:00,0,26.0931616711,52.9547372416,79.0072350377,24.6358019668,88.5,52.2916666667,36.1666666667,44.4166666667,13.6207180887,AJM,17.51263,9.51626,5.03939,11.7458333333,0,152.2916666667,1.4333333333,1,19.2721,-99.2077,12.9583333333,39.9154679694,51.9746339015,22.7083333333,66.2083333333,41.25,24.9166666667,0.25
12.0339347387,-4.7440266667,2016-01-30 00:00:00,0,8.0833333333,28.9583333333,36.9166666667,38.3333333333,49.1862136145,24.9666314647,24.1785943015,24.9583333333,2.0416666667,AJM,18.34554,11.18514,6.18228,15.9291666667,0,169.625,2.0125,1,19.2721,-99.2077,19.0943514054,52.9547372416,79.0072350377,24.6358019668,88.5,52.2916666667,36.1666666667,4
9.4020833333,-3.6475633333,2016-01-31 00:00:00,0,2.3333333333,16.7083333333,19,43.9583333333,35.375,17.1666666667,18.2083333333,38.625,1.4166666667,AJM,23.34503,13.38577,6.89727,17.0333333333,0,186,2.4833333333,1,19.2721,-99.2077,12.0339347387,28.9583333333,36.9166666667,38.3333333333,49.1862136145,24.9666314647,24.1785943015,13.6207180887
8.1854166667,-2.8313866667,2016-02-01 00:00:00,0,3,12.4166666667,15.5833333333,55.5416666667,29.875,13.9166666667,15.875,29.25,3.0833333333,AJM,23.75894,14.63528,8.41439,17.4666666667,0,159.25,3.7791666667,1,19.2721,-99.2077,9.4020833333,16.7083333333,19,43.9583333333,35.375,17.1666666667,18.2083333333,2.0416666667
6.2625,-2.3397433333,2016-02-02 00:00:00,9930.58105,3.9166666667,16.2083333333,20.125,41.5,21.25,9.1666666667,12,28.75,1.9583333333,AJM,24.96938,15.80609,9.32318,18.1458333333,0,193.125,2.6916666667,1,19.2721,-99.2077,8.1854166667,12.4166666667,15.5833333333,55.5416666667,29.875,13.9166666667,15.875,1.4166666667
